product_id,product_name,description,brand,category,sustainability_labels,price,dimensions
p193,Compostable Plates,"Plates made from bagasse, fully compostable.",GreenTable,Tableware,compostable,5.99,"25 x 25 x 2 cm"
p194,Recycled Aluminum Bottle,"Lightweight bottle made from recycled aluminum.",CycleWorks,Accessories,recycled,14.99,"25 x 8 x 8 cm"
p195,Organic Soy Candle,"Hand-poured candle made from organic soy wax.",GlowGreen,Home Decor,"organic,eco-friendly",11.99,"8 x 8 x 10 cm"
p196,Plastic-Free Shampoo,"Natural shampoo bar with zero plastic packaging.",NaturePure,Hair Care,"plastic-free,recyclable",7.49,"8 x 5 x 3 cm"
p197,Bamboo Phone Stand,"Phone stand made from sustainable bamboo.",EcoShade,Accessories,biodegradable,9.99,"15 x 10 x 5 cm"
p198,Organic Cotton Apron,"Durable apron made from 100% organic cotton.",GreenDine,Kitchen,"organic,ethical",19.99,"80 x 60 cm"
p199,Compostable Cutlery,"Cutlery made from plant-based materials, compostable.",GreenFork,Tableware,compostable,4.99,"18 x 3 x 1 cm"
p200,Recycled Paper Planner,"Planner made from 100% recycled paper, eco-friendly.",GreenPlan,Stationery,recycled,9.99,"21 x 15 x 2 cm"
p201,Organic Cotton Bath Mat,"Soft bath mat made from 100% organic cotton.",EcoRest,Bathroom,"organic,ethical",29.99,"80 x 50 cm"
p202,Biodegradable Makeup Wipes,"Makeup wipes made from plant-based fibers, compostable.",CleanGreen,Toiletries,compostable,5.49,"20 x 15 x 0.1 cm"
p203,Recycled Plastic Keychain,"Durable keychain made from recycled ocean plastic.",SeaShade,Accessories,recycled,4.99,"8 x 3 x 1 cm"
p204,Organic Peppermint Tea,"Loose-leaf peppermint tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",5.99,"12 x 10 x 5 cm"
p205,Reusable Silicone Food Cover,"Food cover made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,7.99,"20 x 20 cm"
p206,Biodegradable Nail Brush,"Nail brush with bamboo handle, fully biodegradable.",SmileGreen,Toiletries,biodegradable,3.99,"10 cm"
p207,Organic Cotton Skirt,"Stylish skirt made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",29.99,"80 x 40 cm"
p208,Compostable Party Bowls,"Party bowls made from bagasse, fully compostable.",GreenTable,Tableware,compostable,6.49,"20 x 20 x 5 cm"
p209,Recycled Glass Vase,"Decorative vase made from recycled glass.",ClearCycle,Home Decor,recycled,19.99,"20 x 10 x 10 cm"
p210,Plastic-Free Hand Cream,"Natural hand cream in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",7.99,"8 x 8 x 5 cm"
p211,Organic Cotton Table Runner,"Elegant table runner made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",24.99,"200 x 40 cm"
p212,Bamboo Desk Lamp,"Eco-friendly desk lamp made from sustainable bamboo.",EcoDesk,Office,biodegradable,29.99,"30 x 15 x 40 cm"
p213,Recycled Polyester Hat,"Stylish hat made from recycled plastic bottles.",EcoWear,Clothing,recycled,19.99,"30 x 20 cm"
p214,Organic Earl Grey Tea,"Loose-leaf Earl Grey tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p215,Reusable Silicone Baking Cup,"Baking cup made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,4.99,"8 x 8 x 3 cm"
p216,Biodegradable Toothpaste Tube,"Toothpaste in a compostable tube, natural ingredients.",SmileGreen,Toiletries,biodegradable,5.99,"15 x 5 x 3 cm"
p217,Organic Cotton Dress,"Elegant dress made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",49.99,"100 x 50 cm"
p218,Compostable Coffee Sleeves,"Coffee sleeves made from plant-based materials.",EcoBrew,Beverages,compostable,2.99,"12 x 8 x 0.1 cm"
p219,Bamboo Salad Bowl,"Large salad bowl made from sustainable bamboo.",GreenTable,Tableware,biodegradable,14.99,"25 x 25 x 8 cm"
p220,Organic Face Mask,"Natural face mask with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",9.99,"8 x 8 x 5 cm"
p221,Reusable Stainless Steel Bottle,"Insulated bottle made from stainless steel.",SteelSip,Accessories,reusable,19.99,"25 x 8 x 8 cm"
p222,Organic Cotton Mittens,"Warm mittens made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",12.99,"25 x 10 cm"
p223,Biodegradable Scrub Brush,"Scrub brush with bamboo handle, plant-based bristles.",CleanWave,Kitchen,biodegradable,4.99,"25 cm"
p224,Recycled Paper Stickers,"Stickers made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.49,"10 x 10 x 0.1 cm"
p225,Plastic-Free Body Butter,"Natural body butter in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",8.99,"10 x 10 x 8 cm"
p226,Compostable Food Storage Bags,"Food storage bags made from plant-based materials.",EcoStore,Kitchen,compostable,6.99,"30 x 20 cm"
p227,Organic Cotton Bedspread,"Cozy bedspread made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",69.99,"240 x 220 cm"
p228,Bamboo Hair Comb,"Eco-friendly comb made from sustainable bamboo.",EcoBrush,Toiletries,biodegradable,4.49,"15 cm"
p229,Recycled Plastic Necklace,"Stylish necklace made from recycled ocean plastic.",SeaShade,Accessories,recycled,14.99,"40 x 1 cm"
p230,Organic Oolong Tea,"Loose-leaf oolong tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p231,Reusable Silicone Food Pouch,"Food pouch made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,9.99,"20 x 15 x 5 cm"
p232,Biodegradable Cotton Pads,"Cotton pads made from plant-based materials, compostable.",SmileGreen,Toiletries,biodegradable,3.99,"8 x 8 cm"
p233,Organic Cotton Shorts,"Comfortable shorts made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",24.99,"50 x 40 cm"
p234,Compostable Party Napkins,"Party napkins made from plant-based fibers, compostable.",GreenTable,Tableware,compostable,4.49,"40 x 40 cm"
p235,Recycled Glass Lantern,"Decorative lantern made from recycled glass.",ClearCycle,Home Decor,recycled,19.99,"15 x 15 x 20 cm"
p236,Plastic-Free Lip Scrub,"Natural lip scrub in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",6.99,"5 x 5 x 5 cm"
p237,Organic Cotton Table Napkins,"Reusable napkins made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",14.99,"45 x 45 cm"
p238,Bamboo Desk Shelf,"Eco-friendly desk shelf made from sustainable bamboo.",EcoDesk,Office,biodegradable,24.99,"50 x 20 x 15 cm"
p239,Recycled Polyester Beanie,"Warm beanie made from recycled plastic bottles.",EcoWear,Clothing,recycled,12.99,"25 x 20 cm"
p240,Organic Jasmine Tea,"Loose-leaf jasmine tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p241,Reusable Silicone Food Wrap,"Food wrap made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,8.99,"30 x 30 cm"
p242,Biodegradable Razor Blades,"Razor blades with bamboo handle, fully biodegradable.",SmileGreen,Toiletries,biodegradable,5.99,"15 cm"
p243,Organic Cotton Blouse,"Stylish blouse made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",34.99,"80 x 50 cm"
p244,Compostable Coffee Filters,"Coffee filters made from plant-based fibers, compostable.",EcoBrew,Beverages,compostable,3.49,"15 x 15 x 0.1 cm"
p245,Bamboo Serving Bowl,"Large serving bowl made from sustainable bamboo.",GreenTable,Tableware,biodegradable,14.99,"25 x 25 x 8 cm"
p246,Organic Body Wash,"Natural body wash with organic ingredients, recyclable bottle.",PureBloom,Toiletries,"organic,recyclable",8.99,"15 x 5 x 5 cm"
p247,Reusable Stainless Steel Tumbler,"Insulated tumbler made from stainless steel.",SteelSip,Beverages,reusable,16.99,"15 x 8 x 8 cm"
p248,Organic Cotton Belt,"Durable belt made from 100% organic cotton.",EcoWear,Accessories,"organic,ethical",9.99,"100 x 4 cm"
p249,Biodegradable Cleaning Sponge,"Cleaning sponge made from plant-based materials.",CleanWave,Kitchen,biodegradable,3.99,"12 x 8 x 2 cm"
p250,Recycled Paper Notepad,"Notepad made from 100% recycled paper.",GreenLeaf,Stationery,recycled,4.99,"15 x 10 x 1 cm"
p251,Plastic-Free Face Scrub,"Natural face scrub in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",8.99,"8 x 8 x 5 cm"
p252,Compostable Food Trays,"Food trays made from bagasse, fully compostable.",EcoStore,Kitchen,compostable,6.99,"30 x 20 x 5 cm"
p253,Organic Cotton Bed Cover,"Soft bed cover made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",69.99,"240 x 220 cm"
p254,Bamboo Toothpick Holder,"Toothpick holder made from sustainable bamboo.",EcoBrush,Toiletries,biodegradable,4.49,"8 x 3 x 3 cm"
p255,Recycled Plastic Earrings,"Stylish earrings made from recycled ocean plastic.",SeaShade,Accessories,recycled,9.99,"5 x 2 x 1 cm"
p256,Organic Hibiscus Tea,"Loose-leaf hibiscus tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p257,Reusable Silicone Food Container,"Food container made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,9.99,"20 x 15 x 5 cm"
p258,Biodegradable Cotton Balls,"Cotton balls made from plant-based materials, compostable.",SmileGreen,Toiletries,biodegradable,3.99,"5 x 5 cm"
p259,Organic Cotton Leggings,"Comfortable leggings made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",29.99,"100 x 30 cm"
p260,Compostable Party Straws,"Party straws made from plant-based materials, compostable.",GreenTable,Tableware,compostable,2.99,"20 cm"
p261,Recycled Glass Picture Frame,"Picture frame made from recycled glass.",ClearCycle,Home Decor,recycled,14.99,"20 x 15 x 2 cm"
p262,Plastic-Free Lip Tint,"Natural lip tint in a recyclable paper tube.",NaturePure,Toiletries,"plastic-free,recyclable",6.99,"8 x 2 x 2 cm"
p263,Organic Cotton Coasters,"Reusable coasters made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",9.99,"10 x 10 cm"
p264,Bamboo Desk Drawer,"Eco-friendly desk drawer made from sustainable bamboo.",EcoDesk,Office,biodegradable,19.99,"30 x 20 x 10 cm"
p265,Recycled Polyester Socks,"Comfortable socks made from recycled plastic bottles.",EcoWear,Clothing,recycled,6.99,"25 x 10 cm"
p266,Organic Lemon Tea,"Loose-leaf lemon tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.49,"12 x 10 x 5 cm"
p267,Reusable Silicone Food Lid,"Food lid made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,7.99,"20 x 20 cm"
p268,Biodegradable Hair Tie,"Hair tie made from plant-based materials, compostable.",SmileGreen,Accessories,biodegradable,2.99,"10 cm"
p269,Organic Cotton Cardigan,"Warm cardigan made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",39.99,"80 x 60 cm"
p270,Compostable Coffee Pods,"Coffee pods made from plant-based materials, fully compostable.",EcoBrew,Beverages,compostable,8.99,"5 x 5 x 2 cm"
p271,Bamboo Spice Rack,"Spice rack made from sustainable bamboo.",GreenTable,Kitchen,biodegradable,14.99,"30 x 15 x 10 cm"
p272,Organic Body Lotion,"Moisturizing lotion with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",8.99,"15 x 5 x 5 cm"
p273,Reusable Stainless Steel Bottle,"Insulated bottle made from stainless steel.",SteelSip,Accessories,reusable,19.99,"25 x 8 x 8 cm"
p274,Organic Cotton Tote,"Durable tote made from 100% organic cotton.",EcoWear,Bags,"organic,ethical",12.99,"40 x 35 x 10 cm"
p275,Biodegradable Dish Cloths,"Dish cloths made from plant-based fibers, compostable.",CleanWave,Kitchen,compostable,4.49,"30 x 30 cm"
p276,Recycled Paper Envelopes,"Envelopes made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.99,"23 x 16 x 0.1 cm"
p277,Plastic-Free Shampoo Bar,"Natural shampoo bar in a recyclable paper wrap.",NaturePure,Hair Care,"plastic-free,recyclable",6.99,"8 x 5 x 3 cm"
p278,Compostable Food Wrap,"Food wrap made from plant-based materials.",EcoStore,Kitchen,compostable,5.49,"30 x 30 cm"
p279,Organic Cotton Pillowcase,"Soft pillowcase made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",19.99,"80 x 50 cm"
p280,Bamboo Toothbrush Holder,"Toothbrush holder made from sustainable bamboo.",EcoBrush,Toiletries,biodegradable,5.99,"10 x 5 x 5 cm"
p281,Recycled Plastic Hat,"Stylish hat made from recycled ocean plastic.",SeaShade,Accessories,recycled,19.99,"30 x 20 x 15 cm"
p282,Organic Matcha Tea,"Premium matcha tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",9.99,"12 x 10 x 5 cm"
p283,Reusable Silicone Straw,"Flexible straw made from food-grade silicone.",EcoSip,Accessories,reusable,3.49,"20 cm"
p284,Biodegradable Laundry Detergent,"Eco-friendly detergent in a compostable package.",CleanGreen,Household,compostable,8.99,"20 x 15 x 5 cm"
p285,Organic Cotton Beanie,"Warm beanie made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",12.99,"25 x 20 cm"
p286,Compostable Party Plates,"Party plates made from bagasse, fully compostable.",GreenTable,Tableware,compostable,6.99,"25 x 25 x 2 cm"
p287,Recycled Glass Candle Holder,"Candle holder made from recycled glass, eco-friendly.",ClearCycle,Home Decor,recycled,9.99,"10 x 10 x 12 cm"
p288,Plastic-Free Hand Soap,"Natural hand soap in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",5.99,"15 x 5 x 5 cm"
p289,Organic Cotton Tablecloth,"Elegant tablecloth made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",29.99,"200 x 140 cm"
p290,Bamboo Desk Organizer,"Desk organizer made from sustainable bamboo.",EcoDesk,Office,biodegradable,14.99,"30 x 20 x 10 cm"
p291,Recycled Polyester Tote,"Stylish tote made from recycled plastic bottles.",GreenPack,Bags,recycled,12.99,"40 x 35 x 10 cm"
p292,Organic Rooibos Tea,"Loose-leaf rooibos tea, organically grown, compostable packaging.",PureBlend,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p293,Reusable Silicone Baking Mat,"Non-stick baking mat made from food-grade silicone.",EcoStore,Kitchen,reusable,10.99,"40 x 30 cm"
p294,Biodegradable Toothpicks,"Toothpicks made from sustainable bamboo.",GreenComb,Toiletries,biodegradable,1.99,"6 cm"
p295,Organic Cotton Pajamas,"Comfortable pajamas made from 100% organic cotton.",EcoRest,Clothing,"organic,ethical",39.99,"100 x 60 cm"
p296,Compostable Napkins,"Napkins made from plant-based fibers, compostable.",GreenDine,Tableware,compostable,3.99,"40 x 40 cm"
p297,Recycled Aluminum Tumbler,"Insulated tumbler made from recycled aluminum.",CycleWorks,Accessories,recycled,15.99,"15 x 8 x 8 cm"
p298,Organic Beeswax Candle,"Handmade candle made from organic beeswax.",GlowGreen,Home Decor,"organic,eco-friendly",11.99,"8 x 8 x 10 cm"
p299,Plastic-Free Face Wash,"Natural face wash in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",7.49,"15 x 5 x 5 cm"
p300,Bamboo Sunglass Case,"Protective case for sunglasses, made from bamboo.",EcoShade,Accessories,biodegradable,9.99,"16 x 6 x 4 cm"
